method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
raw,ECG5000,500,4500,5000,1,140,5,0.2655354850935853,0.9395555555555556,0.5680309050231613,0.8077358962375862,0.5680309050231613,0.596477187058519,0.9337925071922218,0.9395555555555556,0.9337629447706574
stats,ECG5000,500,4500,5000,1,140,5,0.26595718119831546,0.9446666666666667,0.5370423903747266,0.6343898168128567,0.5370423903747266,0.569144454287171,0.933579871500866,0.9446666666666667,0.9360120002788624
raw_stats,ECG5000,500,4500,5000,1,140,5,0.28608453359537656,0.9317777777777778,0.5473614240499148,0.5636668211196654,0.5473614240499148,0.5528280769643554,0.9248892890145635,0.9317777777777778,0.9277940192720077
GAF,ECG5000,500,4500,5000,1,140,5,0.31266864638941155,0.9377777777777778,0.5559433130908141,0.6885654719418743,0.5559433130908141,0.5983464033254627,0.9292958765240121,0.9377777777777778,0.9312254345731567
MTF,ECG5000,500,4500,5000,1,140,5,0.3256475570739971,0.9157777777777778,0.5554073247152125,0.5370670927161376,0.5554073247152125,0.5396679217656841,0.9252727474291288,0.9157777777777778,0.9198891564106687
STFT,ECG5000,500,4500,5000,1,140,5,0.3486251164945877,0.9315555555555556,0.5648676728561036,0.6207838158581358,0.5648676728561036,0.5745787849776298,0.9254222327653276,0.9315555555555556,0.9273350790988528
raw_GAF,ECG5000,500,4500,5000,1,140,5,0.35504433584316736,0.9313333333333333,0.5606971770048731,0.6819024455599505,0.5606971770048731,0.5815855840085241,0.9243425297696477,0.9313333333333333,0.926244849324532
raw_MTF,ECG5000,500,4500,5000,1,140,5,0.30939057696403727,0.9397777777777778,0.5081594935755335,0.7513372093023257,0.5081594935755335,0.5534101943949287,0.93303125179443,0.9397777777777778,0.9283892810642166
raw_STFT,ECG5000,500,4500,5000,1,140,5,0.3439429126050737,0.9306666666666666,0.5439901471163762,0.5921395682487736,0.5439901471163762,0.5579205141959112,0.9192681428222804,0.9306666666666666,0.9235195262466026
raw,MedicalImages,381,760,1141,1,99,10,0.6753388884820436,0.756578947368421,0.7547847023632437,0.7092534911295428,0.7547847023632437,0.7160835052654708,0.7800289703909739,0.756578947368421,0.7542980754771661
stats,MedicalImages,381,760,1141,1,99,10,0.6761527397130666,0.7723684210526316,0.739736348094425,0.7414550332002123,0.739736348094425,0.7295372001099321,0.7692640523773255,0.7723684210526316,0.7656469495205959
raw_stats,MedicalImages,381,760,1141,1,99,10,0.7760022282600403,0.7644736842105263,0.7472542645389152,0.7400224476672272,0.7472542645389152,0.7280725878039724,0.7763146126488369,0.7644736842105263,0.7627290067408639
GAF,MedicalImages,381,760,1141,1,99,10,0.8384336289606596,0.7289473684210527,0.6538351127543541,0.6675303242575186,0.6538351127543541,0.646249038541225,0.7264519297073158,0.7289473684210527,0.7207530264975062
MTF,MedicalImages,381,760,1141,1,99,10,1.8578617334365846,0.4934210526315789,0.4240320556502596,0.5270091193507838,0.4240320556502596,0.41458724410412123,0.6164806741148293,0.4934210526315789,0.5212052108225466
STFT,MedicalImages,381,760,1141,1,99,10,1.1207516281228316,0.6118421052631579,0.5313082749632642,0.5611138828052913,0.5313082749632642,0.5170095610854434,0.6557127531716492,0.6118421052631579,0.6164889999616593
raw_GAF,MedicalImages,381,760,1141,1,99,10,0.6927376445971037,0.756578947368421,0.7431981044489707,0.7188679126260714,0.7431981044489707,0.7189373708200589,0.7692453419078754,0.756578947368421,0.7541223347218524
raw_MTF,MedicalImages,381,760,1141,1,99,10,1.1764668928949455,0.6947368421052632,0.5687079877915721,0.7381517018726321,0.5687079877915721,0.6213940833062257,0.699571558648976,0.6947368421052632,0.675626534977726
raw_STFT,MedicalImages,381,760,1141,1,99,10,0.8641713998819652,0.6960526315789474,0.6733291984097817,0.6762860790242357,0.6733291984097817,0.6574029311608843,0.7349792259858571,0.6960526315789474,0.7027685330694372
raw,FacesUCR,200,2050,2250,1,131,14,0.5613137938082218,0.8439024390243902,0.7748539037620369,0.8519365925143493,0.7748539037620369,0.7765429737201417,0.8613987380532782,0.8439024390243902,0.8323447762629119
stats,FacesUCR,200,2050,2250,1,131,14,0.7331955525933243,0.7926829268292683,0.7682812474937132,0.7877342904075614,0.7682812474937132,0.7737004053851079,0.7988600621036472,0.7926829268292683,0.7920458860810491
raw_stats,FacesUCR,200,2050,2250,1,131,14,0.6925512956700673,0.8482926829268292,0.8268356159479886,0.8423337452144797,0.8268356159479886,0.8293047656696055,0.853099979003836,0.8482926829268292,0.8481989388527761
GAF,FacesUCR,200,2050,2250,1,131,14,1.3576343461943836,0.6190243902439024,0.5916722399888544,0.7086443593266303,0.5916722399888544,0.6058557530541661,0.6981730705055804,0.6190243902439024,0.6208426385609582
MTF,FacesUCR,200,2050,2250,1,131,14,0.7734026593987535,0.7907317073170732,0.7376239140780074,0.792270840745207,0.7376239140780074,0.74989681134016,0.8006079370224112,0.7907317073170732,0.7868415770726185
STFT,FacesUCR,200,2050,2250,1,131,14,0.4965884079584261,0.88,0.8251807399196006,0.8711093211396671,0.8251807399196006,0.8345251738509443,0.8871299088880177,0.88,0.8760960382115556
raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.7034991728750671,0.8263414634146341,0.7662038723324303,0.829978091346353,0.7662038723324303,0.7782931802183043,0.8452497306458554,0.8263414634146341,0.8258079494912212
raw_MTF,FacesUCR,200,2050,2250,1,131,14,0.908137179118831,0.764390243902439,0.7105611107488039,0.7569470633454427,0.7105611107488039,0.6964098843773889,0.8051455897650988,0.764390243902439,0.7558092697145757
raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.49926664742209564,0.895609756097561,0.8462541816888799,0.8889334042607244,0.8462541816888799,0.8497370607216529,0.9055795320849088,0.895609756097561,0.8933003485078169
raw,SwedishLeaf,500,625,1125,1,128,15,0.3229415825843811,0.8688,0.8710750901744692,0.8990687330459455,0.8710750901744692,0.8640824082348733,0.8977499343490694,0.8688,0.8615029335546209
stats,SwedishLeaf,500,625,1125,1,128,15,0.20631837315559387,0.9328,0.9350823480947704,0.9318330326442734,0.9350823480947704,0.932252783318209,0.9329631356130614,0.9328,0.9316555268345613
raw_stats,SwedishLeaf,500,625,1125,1,128,15,0.3404333174228668,0.904,0.9061334663198016,0.9099431929790446,0.9061334663198016,0.9048598083577205,0.9101774680223219,0.904,0.9039297239400845
GAF,SwedishLeaf,500,625,1125,1,128,15,0.3010990275859833,0.8928,0.8963905534091869,0.8963994892100484,0.8963905534091869,0.8936175913665356,0.897387238846245,0.8928,0.8922085632245693
MTF,SwedishLeaf,500,625,1125,1,128,15,0.5665211725711823,0.792,0.7964695506396313,0.8187951670896557,0.7964695506396313,0.7912657720553096,0.8206763406511219,0.792,0.7899720570608382
STFT,SwedishLeaf,500,625,1125,1,128,15,0.2792266353607178,0.912,0.9161048153905297,0.9150266147103151,0.9161048153905297,0.9107390946180804,0.9159949251519572,0.912,0.9088176992259609
raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.3137501766204834,0.8816,0.8828846278476252,0.9051169450988303,0.8828846278476252,0.8760943179516468,0.9038333390606497,0.8816,0.8744416901649437
raw_MTF,SwedishLeaf,500,625,1125,1,128,15,0.274271795797348,0.9008,0.9021124918951007,0.9143530551035622,0.9021124918951007,0.901090278023343,0.9135105424663233,0.9008,0.9000572010231607
raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.22102821698188782,0.92,0.9232600560550871,0.9246286733260027,0.9232600560550871,0.921136763387652,0.9241938272793466,0.92,0.9192537267255028
