dataset,method,median_f1,delta_vs_ordinary,share_above_ordinary
Crop,ordinary_bottleneck,0.7069599082270402,0.0,
Crop,raw_residual_bottleneck,0.7060204987979793,-0.0009394094290609001,0.3333333333333333
Crop,context_only_residual_bottleneck,0.7138598014799697,0.006899893252929501,1.0
Crop,raw_conditioned_context_bottleneck,0.7124020491259762,0.00544214089893591,1.0
ElectricDevices,ordinary_bottleneck,0.6407349687408737,0.0,
ElectricDevices,raw_residual_bottleneck,0.6755459733135171,0.03481100457264341,0.6666666666666666
ElectricDevices,context_only_residual_bottleneck,0.6670382568538367,0.026303288112963008,1.0
ElectricDevices,raw_conditioned_context_bottleneck,0.6741195117370997,0.03338454299622606,1.0
FordA,ordinary_bottleneck,0.9477113976867404,0.0,
FordA,raw_residual_bottleneck,0.9422224986695972,-0.005488899017143223,0.0
FordA,context_only_residual_bottleneck,0.9371081818489712,-0.010603215837769242,0.0
FordA,raw_conditioned_context_bottleneck,0.9415926182815564,-0.006118779405184016,0.0
NonInvasiveFetalECGThorax1,ordinary_bottleneck,0.9087055946206778,0.0,
NonInvasiveFetalECGThorax1,raw_residual_bottleneck,0.9001758025203765,-0.008529792100301248,0.6666666666666666
NonInvasiveFetalECGThorax1,context_only_residual_bottleneck,0.9017456860417588,-0.0069599085789190385,0.3333333333333333
NonInvasiveFetalECGThorax1,raw_conditioned_context_bottleneck,0.8926788312435198,-0.016026763377158026,0.0
StarLightCurves,ordinary_bottleneck,0.9584668977111096,0.0,
StarLightCurves,raw_residual_bottleneck,0.9640090966162213,0.0055421989051116505,1.0
StarLightCurves,context_only_residual_bottleneck,0.9641890877652104,0.005722190054100795,0.6666666666666666
StarLightCurves,raw_conditioned_context_bottleneck,0.9605349344389532,0.002068036727843614,1.0
UWaveGestureLibraryAll,ordinary_bottleneck,0.9526614143651532,0.0,
UWaveGestureLibraryAll,raw_residual_bottleneck,0.9467122553282564,-0.005949159036896745,0.6666666666666666
UWaveGestureLibraryAll,context_only_residual_bottleneck,0.9577251598233762,0.005063745458223079,0.6666666666666666
UWaveGestureLibraryAll,raw_conditioned_context_bottleneck,0.9512138572481824,-0.0014475571169707546,0.0
