dataset,family,architecture,modalities,feature_config,mean_macro_f1,median_macro_f1,std_macro_f1,n_seeds,q25_macro_f1_by_family,q75_macro_f1_by_family,iqr_macro_f1_by_family
Crop,single,raw_larger,raw_larger,raw_larger,0.7153399798772503,0.7153221071729714,0.001445894116441693,3,0.5667051293593756,0.7078959594044174,0.14119083004504185
Crop,single,raw_only,raw,raw,0.7078959594044174,0.7094660045756903,0.008046206550215105,3,0.5667051293593756,0.7078959594044174,0.14119083004504185
Crop,single,gaf_only,gaf,gaf,0.6739175670153813,0.6737093059195196,0.003065136604269362,3,0.5667051293593756,0.7078959594044174,0.14119083004504185
Crop,single,stft_only,stft,stft,0.5667051293593756,0.5734909864105718,0.020200425865651368,3,0.5667051293593756,0.7078959594044174,0.14119083004504185
Crop,single,stats_only,stats,stats,0.5568436101879315,0.5561251732019757,0.04393173591570804,3,0.5667051293593756,0.7078959594044174,0.14119083004504185
Crop,concat,concat__raw+gaf+stft,raw+gaf+stft,raw+gaf+stft,0.70515202027552,0.7074743346849052,0.005093568931322948,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,concat,concat__raw+stats+gaf+stft,raw+stats+gaf+stft,raw+stats+gaf+stft,0.7043535199124072,0.7056203981547308,0.005204037328141183,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,concat,concat__raw+stats,raw+stats,raw+stats,0.7041687515992691,0.7078914812804422,0.006498554603902678,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,concat,concat__raw+gaf,raw+gaf,raw+gaf,0.7036020733431171,0.7033528670206691,0.007940320879260386,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,concat,concat__raw+stats+gaf,raw+stats+gaf,raw+stats+gaf,0.7014425088094444,0.6987135787192319,0.011537893548261381,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,concat,concat__raw+stft,raw+stft,raw+stft,0.7008607198882761,0.7051056765750929,0.007415337882643848,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,concat,concat__raw+stats+stft,raw+stats+stft,raw+stats+stft,0.6841278533526954,0.6788636134758607,0.01202775869005213,3,0.7011516143488603,0.7042611357558382,0.0031095214069778443
Crop,gated,gated__raw+stats+gaf+stft,raw+stats+gaf+stft,raw+stats+gaf+stft,0.7090359961543303,0.7066473722272208,0.004318678401590059,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,gated,gated__raw+gaf,raw+gaf,raw+gaf,0.7077754796196766,0.7106741074086047,0.005228675515165686,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,gated,gated__raw+stats+gaf,raw+stats+gaf,raw+stats+gaf,0.7075188589381973,0.7073077069322039,0.00659007844286253,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,gated,gated__raw+gaf+stft,raw+gaf+stft,raw+gaf+stft,0.7037688434417909,0.7085757287257527,0.009105857387399158,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,gated,gated__raw+stats+stft,raw+stats+stft,raw+stats+stft,0.7021099355715403,0.7018109376066038,0.0005931682850700528,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,gated,gated__raw+stft,raw+stft,raw+stft,0.6988643022529688,0.6978170229203441,0.0038510398403487326,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,gated,gated__raw+stats,raw+stats,raw+stats,0.6976157874291512,0.6910136695380903,0.012331080867455673,3,0.7004871189122546,0.707647169278937,0.0071600503666824356
Crop,raw_centered_residual,raw_centered_residual__raw+stats+gaf+stft,raw+stats+gaf+stft,raw+stats+gaf+stft,0.7153558745340161,0.7144594164640355,0.0017014468581410165,3,0.7051184328629407,0.7125639033376145,0.00744547047467381
Crop,raw_centered_residual,raw_centered_residual__raw+gaf+stft,raw+gaf+stft,raw+gaf+stft,0.712826004689572,0.7124174330945946,0.000791269299838762,3,0.7051184328629407,0.7125639033376145,0.00744547047467381
