dataset,rank,family,median_f1,delta_vs_single_median,share_above_single_median
Crop,1,film,0.7121126482249439,0.038403342305424304,1.0
Crop,2,bottleneck,0.7096826265743936,0.03597332065487402,1.0
Crop,3,raw_centered_residual,0.7079263676604718,0.03421706174095218,1.0
ElectricDevices,1,raw_centered_residual,0.6726072039201022,0.05002528671858253,1.0
ElectricDevices,2,film,0.6714173616085128,0.04883544440699317,1.0
ElectricDevices,3,concat,0.6668867511355795,0.04430483393405982,1.0
FordA,1,bottleneck,0.9422852535276708,0.0173804585942412,1.0
FordA,2,concat,0.9408492068416372,0.015944411908207612,0.8571428571428571
FordA,3,gated,0.9400879376703124,0.015183142736882815,0.8571428571428571
NonInvasiveFetalECGThorax1,1,bottleneck,0.9000806677272278,0.06312717859121997,1.0
NonInvasiveFetalECGThorax1,2,gated,0.8823488949931683,0.0453954058571604,0.9047619047619048
NonInvasiveFetalECGThorax1,3,raw_centered_residual,0.8727239721716997,0.03577048303569186,0.7142857142857143
StarLightCurves,1,gated,0.9629639734822564,0.0009838745005883442,0.5238095238095238
StarLightCurves,2,single,0.961980098981668,0.0,0.4666666666666667
StarLightCurves,3,bottleneck,0.9618106965326979,-0.00016940244897012402,0.5
UWaveGestureLibraryAll,1,bottleneck,0.9513217379394718,0.18658966137512456,1.0
UWaveGestureLibraryAll,2,concat,0.9500700718885332,0.18533799532418593,0.8571428571428571
UWaveGestureLibraryAll,3,raw_centered_residual,0.9481650029837312,0.1834329264193839,1.0
