dataset,family,median_f1,single_median_f1,delta_vs_single_median,q75_f1,single_q75_f1,delta_vs_single_q75,share_above_single_median
Crop,single,0.6737093059195196,0.6737093059195196,0.0,0.7116845547688657,0.7116845547688657,0.0,0.4666666666666667
Crop,concat,0.7033528670206691,0.6737093059195196,0.029643561101149518,0.7078914812804422,0.7116845547688657,-0.003793073488423504,1.0
Crop,gated,0.703130656489155,0.6737093059195196,0.02942135056963535,0.7094639827225774,0.7116845547688657,-0.0022205720462883383,1.0
Crop,raw_centered_residual,0.7079263676604718,0.6737093059195196,0.03421706174095218,0.7135579335663436,0.7116845547688657,0.0018733787974778426,1.0
Crop,film,0.7121126482249439,0.6737093059195196,0.038403342305424304,0.7139286404886297,0.7116845547688657,0.0022440857197639774,1.0
Crop,bottleneck,0.7096826265743936,0.6737093059195196,0.03597332065487402,0.7132755115308546,0.7116845547688657,0.0015909567619888376,1.0
ElectricDevices,single,0.6225819172015197,0.6225819172015197,0.0,0.6383767923657686,0.6383767923657686,0.0,0.4666666666666667
ElectricDevices,concat,0.6668867511355795,0.6225819172015197,0.04430483393405982,0.6826552657185594,0.6383767923657686,0.04427847335279078,1.0
ElectricDevices,gated,0.6627429975322927,0.6225819172015197,0.040161080330773036,0.6710190516502855,0.6383767923657686,0.03264225928451692,1.0
ElectricDevices,raw_centered_residual,0.6726072039201022,0.6225819172015197,0.05002528671858253,0.6826123190174311,0.6383767923657686,0.04423552665166253,1.0
ElectricDevices,film,0.6714173616085128,0.6225819172015197,0.04883544440699317,0.6886598612623676,0.6383767923657686,0.05028306889659895,1.0
ElectricDevices,bottleneck,0.6637633957547462,0.6225819172015197,0.041181478553226514,0.676425902001196,0.6383767923657686,0.0380491096354274,0.9166666666666666
FordA,single,0.9249047949334296,0.9249047949334296,0.0,0.9389396577574315,0.9389396577574315,0.0,0.4666666666666667
FordA,concat,0.9408492068416372,0.9249047949334296,0.015944411908207612,0.9446702638268356,0.9389396577574315,0.0057306060694041205,0.8571428571428571
FordA,gated,0.9400879376703124,0.9249047949334296,0.015183142736882815,0.943902175685889,0.9389396577574315,0.004962517928457477,0.8571428571428571
FordA,raw_centered_residual,0.9370717695434488,0.9249047949334296,0.012166974610019254,0.9438770350894934,0.9389396577574315,0.0049373773320618985,0.8095238095238095
FordA,film,0.9340742233313184,0.9249047949334296,0.009169428397888812,0.9416457349542852,0.9389396577574315,0.0027060771968536734,0.8095238095238095
FordA,bottleneck,0.9422852535276708,0.9249047949334296,0.0173804585942412,0.9448727319180809,0.9389396577574315,0.005933074160649365,1.0
NonInvasiveFetalECGThorax1,single,0.8369534891360079,0.8369534891360079,0.0,0.8767817820136494,0.8767817820136494,0.0,0.4666666666666667
NonInvasiveFetalECGThorax1,concat,0.8616427704747871,0.8369534891360079,0.024689281338779234,0.8937520666715767,0.8767817820136494,0.01697028465792727,0.7142857142857143
NonInvasiveFetalECGThorax1,gated,0.8823488949931683,0.8369534891360079,0.0453954058571604,0.8996385635360098,0.8767817820136494,0.02285678152236037,0.9047619047619048
NonInvasiveFetalECGThorax1,raw_centered_residual,0.8727239721716997,0.8369534891360079,0.03577048303569186,0.8930830202651657,0.8767817820136494,0.016301238251516303,0.7142857142857143
NonInvasiveFetalECGThorax1,film,0.8571442690378545,0.8369534891360079,0.02019077990184659,0.8814376919632252,0.8767817820136494,0.004655909949575765,0.6666666666666666
NonInvasiveFetalECGThorax1,bottleneck,0.9000806677272278,0.8369534891360079,0.06312717859121997,0.9035591147721178,0.8767817820136494,0.026777332758468386,1.0
StarLightCurves,single,0.961980098981668,0.961980098981668,0.0,0.9638767368627195,0.9638767368627195,0.0,0.4666666666666667
StarLightCurves,concat,0.9592828798381547,0.961980098981668,-0.0026972191435132853,0.9642188335562112,0.9638767368627195,0.00034209669349172245,0.42857142857142855
StarLightCurves,gated,0.9629639734822564,0.961980098981668,0.0009838745005883442,0.9644752285714624,0.9638767368627195,0.000598491708742932,0.5238095238095238
StarLightCurves,raw_centered_residual,0.9617989928332858,0.961980098981668,-0.00018110614838218186,0.9633588985537016,0.9638767368627195,-0.0005178383090178595,0.47619047619047616
StarLightCurves,film,0.960645497675713,0.961980098981668,-0.0013346013059550854,0.9653735707129028,0.9638767368627195,0.0014968338501832879,0.42857142857142855
StarLightCurves,bottleneck,0.9618106965326979,0.961980098981668,-0.00016940244897012402,0.9645582928635824,0.9638767368627195,0.0006815560008629484,0.5
UWaveGestureLibraryAll,single,0.7647320765643473,0.7647320765643473,0.0,0.8055058734741958,0.8055058734741958,0.0,0.4666666666666667
UWaveGestureLibraryAll,concat,0.9500700718885332,0.7647320765643473,0.18533799532418593,0.9542465216817356,0.8055058734741958,0.14874064820753985,0.8571428571428571
UWaveGestureLibraryAll,gated,0.945658523839247,0.7647320765643473,0.1809264472748997,0.950920070258182,0.8055058734741958,0.14541419678398626,0.9523809523809523
UWaveGestureLibraryAll,raw_centered_residual,0.9481650029837312,0.7647320765643473,0.1834329264193839,0.951514510546634,0.8055058734741958,0.14600863707243827,1.0
UWaveGestureLibraryAll,film,0.9340121150934394,0.7647320765643473,0.16928003852909213,0.9500550529395346,0.8055058734741958,0.14454917946533885,0.9523809523809523
UWaveGestureLibraryAll,bottleneck,0.9513217379394718,0.7647320765643473,0.18658966137512456,0.9539727564675717,0.8055058734741958,0.14846688299337596,1.0
