dataset,dataset_name,architecture,method,modalities,seed,train_size,val_size,test_size,channels,time_steps,num_classes,batch_size,num_params,best_epoch,duration_sec,checkpoint_path,accuracy,val_accuracy,balanced_accuracy,val_balanced_accuracy,macro_f1,val_macro_f1,weighted_f1,val_weighted_f1,delta_macro_f1_vs_raw,delta_macro_f1_vs_raw_larger
FordA,FordA,raw_only,raw_only,raw,42,2880,721,1320,1,500,2,32,157634,11,24.177079708002566,results/fusion_over_raw/checkpoints/FordA/raw_only__raw__seed_42.pt,0.9083333333333333,0.9348127600554785,0.9078302413600545,0.934589843148131,0.9081498333159854,0.9347142992002806,0.9082804604469787,0.9348022106781358,0.0,
FordA,FordA,raw_larger,raw_larger,raw_larger,42,2880,721,1320,1,500,2,32,420610,40,121.06397024999751,results/fusion_over_raw/checkpoints/FordA/raw_larger__raw_larger__seed_42.pt,0.925,0.941747572815534,0.9248033477418599,0.9415811531231704,0.9249047949334297,0.9416657676956033,0.9249898718014288,0.9417415131770206,0.016754961617444275,0.0
FordA,FordA,stats_only,stats_only,stats,42,2880,721,1320,1,500,2,32,44900,21,10.274963208001282,results/fusion_over_raw/checkpoints/FordA/stats_only__stats__seed_42.pt,0.8568181818181818,0.8515950069348127,0.8560215921077123,0.8503089273057841,0.8564258744192551,0.8509343293329752,0.8566646702272974,0.851278432250599,-0.051723958896730315,-0.06847892051417459
FordA,FordA,gaf_only,gaf_only,gaf,42,2880,721,1320,1,500,2,32,126690,52,257.55240558399964,results/fusion_over_raw/checkpoints/FordA/gaf_only__gaf__seed_42.pt,0.9416666666666667,0.941747572815534,0.9421625199065169,0.941773751194108,0.9416545783418167,0.9416882336630004,0.9416812999020115,0.9417527327418412,0.03350474502583123,0.016749783408386953
FordA,FordA,stft_only,stft_only,stft,42,2880,721,1320,1,500,2,32,126690,8,8.525527208999847,results/fusion_over_raw/checkpoints/FordA/stft_only__stft__seed_42.pt,0.9409090909090909,0.9375866851595007,0.941331789070202,0.9382337986502727,0.9408926722069262,0.9375746766177769,0.9409240170019679,0.9376046979720865,0.03274283889094076,0.015987877273496487
FordA,FordA,minirocket_ridge,minirocket_ridge,raw,42,2880,721,1320,1,500,2,32,9997,,5.183951499995601,,0.9462121212121212,0.9472954230235784,0.9458921911301386,0.9473282795599519,0.9461252673760672,0.9472417352189051,0.9461940949442609,0.9473000915283325,0.03797543406008175,0.021220472442637472
FordA,FordA,concat__raw+stats,concat__raw+stats,raw+stats,42,2880,721,1320,1,500,2,32,235428,28,39.013584207998065,results/fusion_over_raw/checkpoints/FordA/concat__raw_stats__raw_stats__seed_42.pt,0.9212121212121213,0.9292649098474342,0.9216148580174144,0.9296131089951003,0.9211902296092349,0.9292300586044632,0.9212320226692906,0.9292845136716054,0.01304039629324949,-0.003714565324194785
FordA,FordA,gated__raw+stats,gated__raw+stats,raw+stats,42,2880,721,1320,1,500,2,32,218662,20,31.685072208005295,results/fusion_over_raw/checkpoints/FordA/gated__raw_stats__raw_stats__seed_42.pt,0.9030303030303031,0.9334257975034674,0.9021599001744189,0.9326715663615913,0.9027245866831248,0.9332304367958018,0.9028981013666584,0.9333556680186643,-0.005425246632860592,-0.022180208250304867
FordA,FordA,raw_centered_residual__raw+stats,raw_centered_residual__raw+stats,raw+stats,42,2880,721,1320,1,500,2,32,317604,33,43.80768416700448,results/fusion_over_raw/checkpoints/FordA/raw_centered_residual__raw_stats__raw_stats__seed_42.pt,0.9196969696969697,0.9403606102635229,0.9194708141162196,0.9400480724785061,0.9195906432748537,0.940257177598224,0.9196836788942052,0.940343371485973,0.011440809958868314,-0.005314151658575961
FordA,FordA,film__raw+stats,film__raw+stats,raw+stats,42,2880,721,1320,1,500,2,32,284836,41,50.95155895900098,results/fusion_over_raw/checkpoints/FordA/film__raw_stats__raw_stats__seed_42.pt,0.9212121212121213,0.9375866851595007,0.9216631162402708,0.938041200579335,0.9211940298507463,0.937563144069509,0.9212320217096337,0.9376051817302086,0.013044196534760855,-0.0037107650826834204
FordA,FordA,concat__raw+gaf,concat__raw+gaf,raw+gaf,42,2880,721,1320,1,500,2,32,317218,74,351.2653550410032,results/fusion_over_raw/checkpoints/FordA/concat__raw_gaf__raw_gaf__seed_42.pt,0.9348484848484848,0.955617198335645,0.9353132992768161,0.9558526701796555,0.934833524684271,0.9555863555863555,0.9348649410291201,0.95562693815121,0.026683691368285523,0.009928729750841248
FordA,FordA,gated__raw+gaf,gated__raw+gaf,raw+gaf,42,2880,721,1320,1,500,2,32,300452,31,180.44812554200325,results/fusion_over_raw/checkpoints/FordA/gated__raw_gaf__raw_gaf__seed_42.pt,0.943939393939394,0.9459084604715673,0.944558195969749,0.946180395057163,0.9439330870552474,0.9458747259473703,0.9439520077076874,0.9459215794531994,0.035783253739261944,0.01902829212181767
FordA,FordA,raw_centered_residual__raw+gaf,raw_centered_residual__raw+gaf,raw+gaf,42,2880,721,1320,1,500,2,32,399394,34,192.62636533300247,results/fusion_over_raw/checkpoints/FordA/raw_centered_residual__raw_gaf__raw_gaf__seed_42.pt,0.9363636363636364,0.9459084604715673,0.9365404369437378,0.9463729931281009,0.9363262155904297,0.9458880581935745,0.9363753303552634,0.9459244908328472,0.0281763822744443,0.011421420657000025
FordA,FordA,film__raw+gaf,film__raw+gaf,raw+gaf,42,2880,721,1320,1,500,2,32,366626,31,181.58054524999898,results/fusion_over_raw/checkpoints/FordA/film__raw_gaf__raw_gaf__seed_42.pt,0.9386363636363636,0.9472954230235784,0.9388878547841134,0.9472319805244831,0.93860673109553,0.9472319805244831,0.9386496471891512,0.9472954230235784,0.030456897779544523,0.013701936162100248
FordA,FordA,concat__raw+stft,concat__raw+stft,raw+stft,42,2880,721,1320,1,500,2,32,317218,24,41.81203912499768,results/fusion_over_raw/checkpoints/FordA/concat__raw_stft__raw_stft__seed_42.pt,0.9454545454545454,0.9472954230235784,0.9459301083052402,0.9477134757018273,0.9454420206659013,0.9472726013055796,0.9454683227220539,0.9473106375022444,0.037292187349915906,0.02053722573247163
FordA,FordA,gated__raw+stft,gated__raw+stft,raw+stft,42,2880,721,1320,1,500,2,32,300452,25,42.972123999999894,results/fusion_over_raw/checkpoints/FordA/gated__raw_stft__raw_stft__seed_42.pt,0.9409090909090909,0.9403606102635229,0.9408492068416372,0.9402406705494437,0.9408492068416372,0.940282954359404,0.9409090909090909,0.9403576234979799,0.032699373525651776,0.0159444119082075
FordA,FordA,raw_centered_residual__raw+stft,raw_centered_residual__raw+stft,raw+stft,42,2880,721,1320,1,500,2,32,399394,39,58.56978770800197,results/fusion_over_raw/checkpoints/FordA/raw_centered_residual__raw_stft__raw_stft__seed_42.pt,0.9401515151515152,0.9472954230235784,0.9407906075710257,0.9480023728082339,0.9401457097250594,0.9472872094812991,0.9401644657182241,0.9473100248765194,0.031995876409073976,0.0152409147916297
FordA,FordA,film__raw+stft,film__raw+stft,raw+stft,42,2880,721,1320,1,500,2,32,366626,33,52.04271804200107,results/fusion_over_raw/checkpoints/FordA/film__raw_stft__raw_stft__seed_42.pt,0.943939393939394,0.9459084604715673,0.9442203884097538,0.9460840960216943,0.94391415788555,0.9458668068173286,0.9439520119663161,0.945918873885127,0.035764324569564576,0.0190093629521203
FordA,FordA,concat__raw+stats+gaf,concat__raw+stats+gaf,raw+stats+gaf,42,2880,721,1320,1,500,2,32,361476,30,179.8724448330031,results/fusion_over_raw/checkpoints/FordA/concat__raw_stats_gaf__raw_stats_gaf__seed_42.pt,0.9340909090909091,0.9472954230235784,0.9342895355490752,0.9474245785954207,0.9340545376553528,0.9472506738544475,0.934103815084171,0.9473039466748413,0.025904704339367424,0.009149742721923149
FordA,FordA,gated__raw+stats+gaf,gated__raw+stats+gaf,raw+stats+gaf,42,2880,721,1320,1,500,2,32,344839,28,171.3106503750023,results/fusion_over_raw/checkpoints/FordA/gated__raw_stats_gaf__raw_stats_gaf__seed_42.pt,0.9318181818181818,0.9403606102635229,0.9317973430401302,0.9400480724785061,0.9317555147058824,0.940257177598224,0.9318213151737967,0.940343371485973,0.023605681389896938,0.0068507197724526625
