method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
raw_residual_bottleneck__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.2808111995204041,0.9393333333333334,0.5716521951161309,0.7384548558064936,0.5716521951161309,0.6061962887443719,0.9320139208679797,0.9393333333333334,0.9336314762081778
raw_residual_bottleneck__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.3355917454162199,0.9331111111111111,0.5086394661774524,0.7925946175875002,0.5086394661774524,0.5453152713661328,0.9222969183065665,0.9331111111111111,0.9230571221747595
raw_residual_bottleneck__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.2532467915991114,0.9426666666666667,0.5689737438321509,0.712735465529183,0.5689737438321509,0.6133908947111275,0.9342926001995618,0.9426666666666667,0.936041017044375
raw_residual_bottleneck__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.3263555299019337,0.9373333333333334,0.5636728883730718,0.7541780720755791,0.5636728883730718,0.6062065926240081,0.9285237828373364,0.9373333333333334,0.930325279338581
context_only_residual_bottleneck__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.2882454007955061,0.9364444444444444,0.5690064973196318,0.6579948951932887,0.5690064973196318,0.5895647101458247,0.9290629393852183,0.9364444444444444,0.9317595705939364
context_only_residual_bottleneck__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.3222207296464799,0.9304444444444444,0.5712359347320072,0.648885593887753,0.5712359347320072,0.5989356019835181,0.9236787622349211,0.9304444444444444,0.9264808452644467
context_only_residual_bottleneck__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.27552906596629567,0.9397777777777778,0.5630908224447768,0.6533299327923894,0.5630908224447768,0.5872058895313623,0.9320620923523005,0.9397777777777778,0.9327905266394927
context_only_residual_bottleneck__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.30907591732700046,0.9373333333333334,0.5648718819304139,0.6875354413050335,0.5648718819304139,0.5937906856889906,0.9293372522814285,0.9373333333333334,0.9317947044829238
raw_conditioned_context_bottleneck__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.3005920815905039,0.9395555555555556,0.5529472414795233,0.690006014588844,0.5529472414795233,0.5908235474023625,0.9306947856911179,0.9395555555555556,0.9332504928806391
raw_conditioned_context_bottleneck__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.3408418595161703,0.9308888888888889,0.5207564168187372,0.6233233875055608,0.5207564168187372,0.5523577258416761,0.915288922404591,0.9308888888888889,0.9207540604578056
raw_conditioned_context_bottleneck__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.3523496484979987,0.9362222222222222,0.517166223051557,0.667757603710726,0.517166223051557,0.5558851918189058,0.9216944933662544,0.9362222222222222,0.9245046050291374
raw_conditioned_context_bottleneck__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.24508376876347596,0.9426666666666667,0.5830841083970143,0.6567012027245809,0.5830841083970143,0.6089078338728208,0.9352370464536285,0.9426666666666667,0.936907439360679
raw_residual_bottleneck__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.801307622696224,0.756578947368421,0.6669238624175924,0.7717988246818892,0.6669238624175924,0.6914437217949108,0.7588602376036054,0.756578947368421,0.7466741925386805
raw_residual_bottleneck__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.7330090494532334,0.775,0.7586949615368269,0.755899775062099,0.7586949615368269,0.7353048660828061,0.7843340484870818,0.775,0.7694956052478675
raw_residual_bottleneck__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.7519742416708093,0.781578947368421,0.7841782567653268,0.7727788089581715,0.7841782567653268,0.7701712076374204,0.7948875883721468,0.781578947368421,0.7838640664808506
raw_residual_bottleneck__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.7249943347353685,0.7710526315789473,0.7590152727970358,0.7454250856177849,0.7590152727970358,0.7459136755329498,0.7739782308151695,0.7710526315789473,0.7684050824240874
context_only_residual_bottleneck__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.7356531384744143,0.7513157894736842,0.7476528369901235,0.7513762272630256,0.7476528369901235,0.7371583044302037,0.775835672531492,0.7513157894736842,0.7546569865446818
context_only_residual_bottleneck__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.7479391198409231,0.7710526315789473,0.7460827914488504,0.7606898630265503,0.7460827914488504,0.7371561955307014,0.7793472176959426,0.7710526315789473,0.7677513949992395
context_only_residual_bottleneck__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.8570790805314716,0.756578947368421,0.7794032614469563,0.755808632255264,0.7794032614469563,0.7607254935341938,0.7840961507109502,0.756578947368421,0.7641697905099055
context_only_residual_bottleneck__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.7407803905637641,0.7671052631578947,0.7498611163939416,0.7188716211518261,0.7498611163939416,0.7209246306467711,0.7769792454260976,0.7671052631578947,0.7662867547473462
raw_conditioned_context_bottleneck__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.7973756561153813,0.7486842105263158,0.7290232507789125,0.7162619074453432,0.7290232507789125,0.7146204184478753,0.748899614681495,0.7486842105263158,0.7445775052222464
raw_conditioned_context_bottleneck__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.7580534291894813,0.7776315789473685,0.7727709753521878,0.7754281606092706,0.7727709753521878,0.7532541576158454,0.8020471812403482,0.7776315789473685,0.776721691026168
raw_conditioned_context_bottleneck__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.7679384691150565,0.8065789473684211,0.7886386888853888,0.80031535755304,0.7886386888853888,0.7915744276559769,0.8031697490038874,0.8065789473684211,0.8030857077704489
raw_conditioned_context_bottleneck__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.7706637200556303,0.7736842105263158,0.7514401727179035,0.7229485648324853,0.7514401727179035,0.7293677023379616,0.7791701910108038,0.7736842105263158,0.7723408683013094
raw_residual_bottleneck__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.4404984487992961,0.8878048780487805,0.8345131206218962,0.888508659109865,0.8345131206218962,0.8441963468945389,0.8987725001806465,0.8878048780487805,0.8850438202723434
raw_residual_bottleneck__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.39119232440072044,0.8985365853658537,0.8556534095400042,0.8898870959546509,0.8556534095400042,0.860960683836342,0.9087920236679636,0.8985365853658537,0.8967479056107392
raw_residual_bottleneck__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.7203692289678062,0.8370731707317073,0.8122284685746717,0.8320884622365992,0.8122284685746717,0.8153476217953929,0.8509352901280071,0.8370731707317073,0.8380472687401314
raw_residual_bottleneck__raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.6415112272377421,0.8526829268292683,0.8164245768600019,0.8571474220333253,0.8164245768600019,0.8278977616126826,0.8642389478220721,0.8526829268292683,0.8528308739627344
context_only_residual_bottleneck__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.4605999809939687,0.8897560975609756,0.8415450201921145,0.8712775899868085,0.8415450201921145,0.8481562012143826,0.893092308808055,0.8897560975609756,0.885914808140745
context_only_residual_bottleneck__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.6340985743715087,0.8502439024390244,0.8037543844909439,0.8589706215761693,0.8037543844909439,0.807920757496718,0.8822631168903293,0.8502439024390244,0.8469923770532954
context_only_residual_bottleneck__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.6448579608812565,0.8634146341463415,0.8346485083007914,0.8629345950269484,0.8346485083007914,0.8422325669056895,0.8733063584193874,0.8634146341463415,0.8629885350560025
