dataset_name,method,fusion,modality_combo,coefficient,target,value,std
ECG5000,gated_fusion__raw_STFT,gated_fusion,raw_STFT,gate,raw,0.3214058578014374,0.1314029097557068
ECG5000,gated_fusion__raw_STFT,gated_fusion,raw_STFT,gate,stft,0.678594172000885,0.1314029097557068
ECG5000,gated_fusion__raw_GAF,gated_fusion,raw_GAF,gate,raw,0.395997554063797,0.10766565054655075
ECG5000,gated_fusion__raw_GAF,gated_fusion,raw_GAF,gate,gaf,0.6040024161338806,0.10766565054655075
ECG5000,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,raw,0.15933085978031158,0.10690370202064514
ECG5000,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,stats,0.5854771137237549,0.2136642336845398
ECG5000,gated_fusion__raw_stats_STFT,gated_fusion,raw_stats_STFT,gate,stft,0.25519201159477234,0.10895911604166031
ECG5000,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,raw,0.25824689865112305,0.17998062074184418
ECG5000,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,stats,0.18956871330738068,0.017412202432751656
ECG5000,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,gaf,0.1852828562259674,0.0319119431078434
ECG5000,gated_fusion__raw_stats_GAF_STFT,gated_fusion,raw_stats_GAF_STFT,gate,stft,0.3669015169143677,0.1696627289056778
ECG5000,residual_gated_fusion_vector_alpha__raw_STFT,residual_gated_fusion_vector_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.2826029062271118,0.35430270433425903
ECG5000,residual_gated_fusion_vector_alpha__raw_GAF,residual_gated_fusion_vector_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.2641838490962982,0.3043639361858368
ECG5000,residual_gated_fusion_vector_alpha__raw_stats_STFT,residual_gated_fusion_vector_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.35336029529571533,0.3844132721424103
ECG5000,residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,residual_gated_fusion_vector_alpha,raw_stats_GAF_STFT,alpha_abs_mean,residual_delta,0.321798175573349,0.38080108165740967
ECG5000,residual_gated_fusion_scalar_alpha__raw_STFT,residual_gated_fusion_scalar_alpha,raw_STFT,alpha_abs_mean,residual_delta,0.6572643518447876,0.15693725645542145
ECG5000,residual_gated_fusion_scalar_alpha__raw_GAF,residual_gated_fusion_scalar_alpha,raw_GAF,alpha_abs_mean,residual_delta,0.6666916012763977,0.3166440427303314
ECG5000,residual_gated_fusion_scalar_alpha__raw_stats_STFT,residual_gated_fusion_scalar_alpha,raw_stats_STFT,alpha_abs_mean,residual_delta,0.6067363023757935,0.18147161602973938
