method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
gated_fusion__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.4931442121868539,0.918,0.5038859793038608,0.5813137253829543,0.5038859793038608,0.5155640807137477,0.9167378145471725,0.918,0.9145848168281465
gated_fusion__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.3862270512330449,0.9346666666666666,0.5541989989955924,0.6548758415987843,0.5541989989955924,0.5902876030453366,0.9257486532680416,0.9346666666666666,0.928582718578318
gated_fusion__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.38580156877937,0.9346666666666666,0.5616168408983147,0.6797658237853589,0.5616168408983147,0.5958997815191095,0.925875278048783,0.9346666666666666,0.9289365177320478
gated_fusion__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.3633234144525033,0.9313333333333333,0.501504671529874,0.7624601689881069,0.501504671529874,0.5327999777509453,0.919368972543013,0.9313333333333333,0.9213247751969866
residual_gated_fusion_vector_alpha__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.2943563521031497,0.938,0.5613360880020954,0.6961313515556606,0.5613360880020954,0.5950841958282326,0.9312747971048156,0.938,0.9328485990580597
residual_gated_fusion_vector_alpha__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.3429691347197319,0.9337777777777778,0.5722383479797221,0.6418819005269552,0.5722383479797221,0.598730583367438,0.9255363065346682,0.9337777777777778,0.9287881024391538
residual_gated_fusion_vector_alpha__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.30820066335404084,0.9308888888888889,0.5528454173078637,0.6683989179938924,0.5528454173078637,0.5713419994822778,0.9251154149940727,0.9308888888888889,0.9268427847033525
residual_gated_fusion_vector_alpha__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.3899487358757502,0.9304444444444444,0.541760233367919,0.5734694269544036,0.541760233367919,0.5546687024503927,0.9202180480247844,0.9304444444444444,0.9246392228210892
residual_gated_fusion_scalar_alpha__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.3072446965819949,0.9384444444444444,0.5595871914855655,0.6532682524570008,0.5595871914855655,0.5917866483776538,0.9298152923841313,0.9384444444444444,0.9330347255412538
residual_gated_fusion_scalar_alpha__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.36532067898950643,0.9142222222222223,0.5523269242780765,0.6167413737962713,0.5523269242780765,0.5694417772543641,0.9157920282088736,0.9142222222222223,0.913685152280927
