method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.2693405821567608,0.9371111111111111,0.4898739482696618,0.5872183051705713,0.4898739482696618,0.5086140200467122,0.9178738659696175,0.9371111111111111,0.923141510482242
raw_stats_GAF,ECG5000,500,4500,5000,1,140,5,0.2950868930394451,0.9368888888888889,0.5314908235140607,0.6714109613907641,0.5314908235140607,0.566068879503567,0.9263505127605879,0.9368888888888889,0.9294370542648627
raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.3050400486601931,0.942,0.5476487338262147,0.6416801475451586,0.5476487338262147,0.5761129273404817,0.9320689136163979,0.942,0.9332924702191172
raw_stats_GAF_MTF_STFT,ECG5000,500,4500,5000,1,140,5,0.3726244672104561,0.9404444444444444,0.5235809608021784,0.6443812099596475,0.5235809608021784,0.5596518301007072,0.9285379153731551,0.9404444444444444,0.9309278830328185
raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.9159119148003427,0.7789473684210526,0.769600462472379,0.7415944345442096,0.769600462472379,0.7491306268076715,0.792104740933994,0.7789473684210526,0.7813806433963102
raw_stats_GAF,MedicalImages,381,760,1141,1,99,10,1.0751794570370725,0.7618421052631579,0.7372624441612251,0.715041061244429,0.7372624441612251,0.7082591505927371,0.7585820730317847,0.7618421052631579,0.7514213783858741
raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.867253030287592,0.7868421052631579,0.7304401009606953,0.7537747539260155,0.7304401009606953,0.7317406851847829,0.7749992966927508,0.7868421052631579,0.7743761045682319
raw_stats_GAF_MTF_STFT,MedicalImages,381,760,1141,1,99,10,1.1166819258740073,0.7631578947368421,0.7423414727317252,0.7766477985147919,0.7423414727317252,0.7497968312093016,0.775566972787027,0.7631578947368421,0.7628823612075606
raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.8645180462191745,0.8414634146341463,0.8087766196359336,0.8496620918788022,0.8087766196359336,0.8223422272873767,0.8525559921534881,0.8414634146341463,0.8410633587623556
raw_stats_GAF,FacesUCR,200,2050,2250,1,131,14,0.9774177929759026,0.8239024390243902,0.8005827523016684,0.8261900732312506,0.8005827523016684,0.8076123438615869,0.835239834739071,0.8239024390243902,0.8237433275890821
raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.7731924377999655,0.8478048780487805,0.8333602761918203,0.8430199334394788,0.8333602761918203,0.8320968281554127,0.8598864211450815,0.8478048780487805,0.8472683223072772
raw_stats_GAF_MTF_STFT,FacesUCR,200,2050,2250,1,131,14,0.7199564650000595,0.8609756097560975,0.84433000213487,0.8405137005982962,0.84433000213487,0.8398708082188234,0.8656578494572177,0.8609756097560975,0.8607693164347064
raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.2712046635627747,0.9216,0.9244008361399666,0.9279908827894705,0.9244008361399666,0.9217619645749516,0.9286767043215708,0.9216,0.9204981816464799
raw_stats_GAF,SwedishLeaf,500,625,1125,1,128,15,0.3984129846572876,0.8576,0.8576520584535651,0.8905637912730392,0.8576520584535651,0.8613200672851479,0.8883599177841878,0.8576,0.8602705909978089
raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.29366592872142794,0.92,0.9229246553159596,0.9243778842500985,0.9229246553159596,0.9207806938507812,0.9248438011762797,0.92,0.9194641558778569
raw_stats_GAF_MTF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.25179809370040895,0.912,0.9175198151285107,0.9333119978863014,0.9175198151285107,0.9095012881732999,0.9347196587451075,0.912,0.9062892789273428
