dataset_name,method,modality_combo,latent,modality,attention_mean,attention_std,note
ECG5000,bottleneck__raw_STFT,raw_STFT,Z1,raw,0.5435490012168884,0.4605695903301239,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z1,stft,0.4564509987831116,0.4605695605278015,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z2,raw,0.40256738662719727,0.47644588351249695,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z2,stft,0.5974326133728027,0.47644588351249695,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z3,raw,0.24516694247722626,0.37692397832870483,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z3,stft,0.7548330426216125,0.37692397832870483,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z4,raw,0.4944875240325928,0.4969153106212616,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_STFT,raw_STFT,Z4,stft,0.5055124163627625,0.4969153106212616,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z1,raw,0.46781131625175476,0.46156495809555054,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z1,gaf,0.5321887135505676,0.46156495809555054,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z2,raw,0.35636237263679504,0.4484270513057709,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z2,gaf,0.6436375975608826,0.4484270513057709,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z3,raw,0.33420735597610474,0.4381238520145416,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z3,gaf,0.6657926440238953,0.4381238520145416,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z4,raw,0.4073130488395691,0.46620258688926697,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_GAF,raw_GAF,Z4,gaf,0.5926869511604309,0.46620258688926697,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z1,raw,0.014820406213402748,0.04065890610218048,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z1,stats,0.4795689582824707,0.48345890641212463,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z1,stft,0.5056107044219971,0.47323545813560486,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z2,raw,0.05577287822961807,0.14410649240016937,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z2,stats,0.4941367208957672,0.47656863927841187,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z2,stft,0.4500904381275177,0.44079309701919556,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z3,raw,0.2303124964237213,0.375527560710907,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z3,stats,0.3681482970714569,0.4719853401184082,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z3,stft,0.401539146900177,0.45062410831451416,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z4,raw,0.15063361823558807,0.3548455238342285,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z4,stats,0.6152547597885132,0.47511500120162964,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_STFT,raw_stats_STFT,Z4,stft,0.23411154747009277,0.41153159737586975,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z1,raw,0.1973094344139099,0.3883183002471924,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z1,stats,0.27945590019226074,0.43044939637184143,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z1,gaf,0.13426969945430756,0.3278653919696808,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z1,stft,0.38896501064300537,0.47585147619247437,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z2,raw,0.10817531496286392,0.3035357594490051,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z2,stats,0.052542902529239655,0.19670599699020386,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z2,gaf,0.23535354435443878,0.41079601645469666,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z2,stft,0.6039282083511353,0.48816603422164917,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z3,raw,0.10267315804958344,0.29819464683532715,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z3,stats,0.1517561674118042,0.3574206829071045,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z3,gaf,0.1270889788866043,0.30084067583084106,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z3,stft,0.6184816360473633,0.46205365657806396,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z4,raw,0.2797129154205322,0.44082707166671753,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z4,stats,0.6379786729812622,0.4730912148952484,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z4,gaf,0.07978825271129608,0.26914483308792114,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
ECG5000,bottleneck__raw_stats_GAF_STFT,raw_stats_GAF_STFT,Z4,stft,0.0025201202370226383,0.04002341628074646,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z1,raw,0.573514461517334,0.4628770351409912,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z1,stft,0.4264855682849884,0.4628770351409912,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z2,raw,0.4944973587989807,0.47463446855545044,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z2,stft,0.5055025815963745,0.47463446855545044,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z3,raw,0.5524148344993591,0.4697056710720062,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z3,stft,0.44758525490760803,0.4697056710720062,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z4,raw,0.519180953502655,0.47365373373031616,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_STFT,raw_STFT,Z4,stft,0.48081904649734497,0.47365373373031616,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z1,raw,0.3980146050453186,0.4764210283756256,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z1,gaf,0.6019853949546814,0.4764210283756256,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z2,raw,0.39150270819664,0.4731926918029785,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z2,gaf,0.6084972620010376,0.4731926918029785,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z3,raw,0.5471956729888916,0.4796443581581116,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z3,gaf,0.4528043568134308,0.4796443581581116,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z4,raw,0.46084967255592346,0.47611647844314575,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_GAF,raw_GAF,Z4,gaf,0.5391503572463989,0.47611647844314575,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z1,raw,0.19016411900520325,0.37939250469207764,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z1,stats,0.4943374991416931,0.4696676731109619,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z1,stft,0.31549835205078125,0.43217501044273376,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z2,raw,0.20508170127868652,0.3830690085887909,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z2,stats,0.2512304186820984,0.39851894974708557,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z2,stft,0.5436878800392151,0.46990615129470825,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z3,raw,0.2588823735713959,0.40753263235092163,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z3,stats,0.5053828358650208,0.4610860049724579,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z3,stft,0.23573477566242218,0.38425302505493164,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z4,raw,0.23305939137935638,0.40854889154434204,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z4,stats,0.5074726343154907,0.47554782032966614,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
MedicalImages,bottleneck__raw_stats_STFT,raw_stats_STFT,Z4,stft,0.2594679594039917,0.4148668050765991,Attention is a diagnostic view of latent-token interactions with modality tokens; it is not absolute causal importance.
