method,dataset_name,train_size,test_size,total_size,channels,time_steps,num_classes,loss,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
bottleneck__raw_STFT,ECG5000,500,4500,5000,1,140,5,0.31988604644851554,0.9333333333333333,0.5080333652382426,0.6994474886920025,0.5080333652382426,0.5344627171655921,0.9247252921622561,0.9333333333333333,0.9249406533703065
bottleneck__raw_GAF,ECG5000,500,4500,5000,1,140,5,0.33438377356384363,0.9353333333333333,0.5567257874088025,0.6340960506469245,0.5567257874088025,0.5815959206998225,0.9271128674308274,0.9353333333333333,0.9304316480478071
bottleneck__raw_stats_STFT,ECG5000,500,4500,5000,1,140,5,0.3301714660881294,0.9322222222222222,0.5479949569593779,0.624309550168999,0.5479949569593779,0.5767056082774726,0.9238186126909067,0.9322222222222222,0.9267334937474992
bottleneck__raw_stats_GAF_STFT,ECG5000,500,4500,5000,1,140,5,0.24971195679406324,0.9395555555555556,0.5597452419470972,0.6188824678835777,0.5597452419470972,0.5808277559217224,0.9330078592431534,0.9395555555555556,0.9350562873236823
bottleneck__raw_STFT,MedicalImages,381,760,1141,1,99,10,0.8789307330784045,0.7197368421052631,0.6573448186236115,0.6650917431288148,0.6573448186236115,0.6460999916460046,0.7210399338301855,0.7197368421052631,0.7121240948025858
bottleneck__raw_GAF,MedicalImages,381,760,1141,1,99,10,0.7997342853169692,0.7684210526315789,0.7622134707297854,0.7077296737061397,0.7622134707297854,0.7296015226171804,0.776512571388176,0.7684210526315789,0.7695915140991693
bottleneck__raw_stats_STFT,MedicalImages,381,760,1141,1,99,10,0.9040928768484215,0.7789473684210526,0.7414320022028957,0.7456180909168557,0.7414320022028957,0.7312356285439997,0.7744033325723482,0.7789473684210526,0.7702191859276211
bottleneck__raw_stats_GAF_STFT,MedicalImages,381,760,1141,1,99,10,0.9375983412328519,0.7776315789473685,0.7234318801620695,0.7477148590060885,0.7234318801620695,0.7298573430183366,0.7818872392925252,0.7776315789473685,0.7764805154796411
bottleneck__raw_STFT,FacesUCR,200,2050,2250,1,131,14,0.42493155723664816,0.8892682926829268,0.8401170601915743,0.8743502352959843,0.8401170601915743,0.850327279311968,0.8938873873589648,0.8892682926829268,0.8871373630406143
bottleneck__raw_GAF,FacesUCR,200,2050,2250,1,131,14,0.548427643831365,0.8736585365853659,0.828143563709008,0.8719468268296965,0.828143563709008,0.8394569531218787,0.8834945404274865,0.8736585365853659,0.8723526741925607
bottleneck__raw_stats_STFT,FacesUCR,200,2050,2250,1,131,14,0.7667805035594033,0.848780487804878,0.8323099242267872,0.8411704365738772,0.8323099242267872,0.8330731307902904,0.8527124595067478,0.848780487804878,0.8471744375054389
bottleneck__raw_stats_GAF_STFT,FacesUCR,200,2050,2250,1,131,14,0.7227763013141911,0.8434146341463414,0.8198028440702655,0.8395605291294398,0.8198028440702655,0.8244139090622353,0.8533427025490995,0.8434146341463414,0.8427726560572769
bottleneck__raw_STFT,SwedishLeaf,500,625,1125,1,128,15,0.22458566904067992,0.9216,0.9255008380163658,0.9346269949499959,0.9255008380163658,0.921432657890223,0.935182910627284,0.9216,0.9193168277288938
bottleneck__raw_GAF,SwedishLeaf,500,625,1125,1,128,15,0.23318383135795592,0.9216,0.9247709571312055,0.9274914624313779,0.9247709571312055,0.9223533907418091,0.928369808550806,0.9216,0.9210883847165402
bottleneck__raw_stats_STFT,SwedishLeaf,500,625,1125,1,128,15,0.21473302693367005,0.928,0.9296844449018361,0.9305353214175256,0.9296844449018361,0.9289991615876766,0.9297619947382131,0.928,0.9277653544181051
bottleneck__raw_stats_GAF_STFT,SwedishLeaf,500,625,1125,1,128,15,0.29870209078788756,0.912,0.9135099626093415,0.9165814326789936,0.9135099626093415,0.9133445652081343,0.915359024390244,0.912,0.9119933728800513
